id,txt,phrase,txt_loc
"1",F.B,F.B,"1"
"2",C.B,C.B,"1"
"3",ELDRIDGE'S,ELDRIDGE'S LOCK,"1"
"4",LOCK,ELDRIDGE'S LOCK,"2"
"5",F.B,F.B,"1"
"6",F.B,F.B,"1"
"7",DEF,DEF,"1"
"8",C.D,C.D,"1"
"9",R.H,R.H,"1"
"10",BOAT,BOAT HOUSE,"1"
"11",HOUSE,BOAT HOUSE,"2"
"12",SLUICE,SLUICE,"1"
"13",R.H,R.H,"1"
"14",UND,UND,"1"
"15",SLUICE,SLUICE,"1"
"16",RATS,RATS CASTLE,"1"
"17",CASTLE,RATS CASTLE,"2"
"18",F.P,F.P,"1"
"19",POSTERN,POSTERN PARK,"1"
"20",PARK,POSTERN PARK,"2"
"21",UPPER,UPPER POSTERN,"1"
"22",POSTERN,UPPER POSTERN,"2"
"23",FP,FP,"1"
"24",FP,FP,"1"
"25",SOUTH,SOUTH EASTERN RAILWAY,"1"
"26",EASTERN,SOUTH EASTERN RAILWAY,"2"
"27",RAILWAY,SOUTH EASTERN RAILWAY,"3"
"28",FP,FP,"1"
"29",RIVER,RIVER MEDWAY,"1"
"30",MEDWAY,RIVER MEDWAY,"2"
"31",HIGH,HIGH BRIDGE,"1"
"32",BRIDGE,HIGH BRIDGE,"2"
"33",ROUGHS,ROUGHS,"1"
"34",TK D,TK D,"1"
"35",DEF,DEF,"1"
"36",R.H,R.H,"1"
"37",C.D,C.D,"1"
"38",F.B,F.B,"1"
"39",C.D,C.D,"1"
"40",SLUICE,SLUICE,"1"
"41",F.P,F.P,"1"
"42",SLUICE,SLUICE,"1"
"43",WATERFALL,WATERFALL,"1"
"44",SLUICE,SLUICE,"1"
"45",F.F,F.F,"1"
"46",TOWING,TOWING,"1"
"47",F.P,F.P,"1"
"48",S.M,S.M,"1"
"49",B.M,B.M,"1"
"50",WENHAMS'S,WENHAMS'S FARM,"1"
"51",FARM,WENHAMS'S FARM,"2"
"52",TUDELEY,TUDELEY HALE,"1"
"53",HALE,TUDELEY HALE,"2"
"54",DEF,DEF,"1"
"55",SLUICE,SLUICE,"1"
"56",RED COW,RED COW,"1"
"57",B M,B M,"1"
"58",B M,B M,"1"
"59",(B.H),(B.H),"1"
"60",SLUICE,SLUICE,"1"
"61",SANDLING,SANDLING FARM,"1"
"62",FARM,SANDLING FARM,"2"
"63",R.H,R.H,"1"
"64",PATH,TAWING PATH,"2"
"65",PORTER'S,PORTER'S LOCK,"1"
"66",LOCK,PORTER'S LOCK,"2"
"67",R.H,R.H,"1"
"68",STONE,STONE,"1"
"69",DEF,DEF,"1"
"70",UND,UND,"1"
"71",BS,BS,"1"
"72",BS,BS,"1"
"73",STONE,STONE,"1"
"74",HAMLET,HAMLET HOLE,"1"
"75",HOLE,HAMLET HOLE,"2"
"76",B M,B M,"1"
"77",B S,B S,"1"
"78",F P,F P,"1"
"79",F B,F B,"1"
"80",SLUICE,SLUICE,"1"
"81",SHERNDEN,SHERNDEN FARM,"1"
"82",FARM,SHERNDEN FARM,"2"
"83",F P,F P,"1"
"84",LILLEY,LILLEY FARM,"1"
"85",FARM,LILLEY FARM,"2"
,S P,S P,"1"
