id,txt,phrase,txt_loc
"69",GAS,GAS WORKS,"1"
"70",WORKS,GAS WORKS,"2"
"71",SQUARE,SQUARE WOOD,"1"
"72",WOOD,SQUARE WOOD,"2"
"73",SOMERHILL,SOMERHILL,"1"
"74",SOMERHILL,SOMERHILL PARK,"1"
"75",PARK,SOMERHILL PARK,"2"
"76",OLD,OLD QUARRY,"1"
"77",QUARRY,OLD QUARRY,"2"
"78",RESERVIOR,RESERVIOR,"1"
"79",F P,F P,"1"
"1",Village,Village Hall,"1"
"2",Hall,Village Hall,"2"
"3",Gate,Gate Farm,"1"
"4",Farm,Gate Farm,"2"
"5",Allotment,Allotment Gardens,"1"
"6",Gardens,Allotment Gardens,"2"
"7",Vicarage,Vicarage,"1"
"8",Church,Church Farm,"1"
"9",Farm,Church Farm,"2"
"10",Tudeley,Tudeley,"1"
"11",Grave,Grave Yard,"1"
"12",Yard,Grave Yard,"2"
"13",All,All Saints' Church,"1"
"14",Saints',All Saints' Church,"2"
"15",Church,All Saints' Church,"3"
"16",South,South Eastern Family,"1"
"17",Eastern,South Eastern Family,"2"
"18",Railway,South Eastern Family,"3"
"19",Bank,Bank Farm,"1"
"20",Farm,Bank Farm,"2"
"21",Sheep,Sheep Pens,"1"
"22",Pens,Sheep Pens,"2"
"23",Quarry,Quarry,"1"
"24",Burgess,Burgess Rough,"1"
"25",Rough,Burgess Rough,"2"
"26",Claypit,Claypit Rough,"1"
"27",Rough,Claypit Rough,"2"
"28",Park,Park Farm,"1"
"29",Farm,Park Farm,"2"
"30",Rushpits,Rushputs Wood,"1"
"31",Wood,Rushputs Wood,"2"
"32",Old,Old Furze Field,"1"
"33",Furze,Old Furze Field,"2"
"34",Field,Old Furze Field,"3"
"35",Boys,Boys Wood,"1"
"36",Wood,Boys Wood,"2"
"37",Reservoir,Reservoir,"1"
"38",Devils,Devils Gill,"1"
"39",Gill,Devils Gill,"2"
"40",Knowles,Knowles Bank,"1"
"41",Bank,Knowles Bank,"2"
"42",Reed,Reed Wood,"1"
"43",Wood,Reed Wood,"2"
"44",Pheasent,Pheasent Wood,"1"
"45",Wood,Pheasent Wood,"2"
"46",Little,Little Toll,"1"
"47",Toll,Little Toll,"2"
"48",Nightingale,Nightingale Wood,"1"
"49",Wood,Nightingale Wood2,"2"
"50",Long,Long Field,"1"
"51",Field,Long Field,"2"
"52",Crockhurst,Crockhurst Street,"1"
"53",Street,Crockhurst Street,"2"
"54",Crockhurst,Crockhurst Street Farm,"1"
"55",Street,Crockhurst Street Farm,"2"
"56",Farm,Crockhurst Street Farm,"3"
"57",Smithy,Smithy,"1"
"58",Carpenters',Carpenters' Arms Inn,"1"
"59",Arms,Carpenters' Arms Inn,"2"
"60",Inn,Carpenters' Arms Inn,"3"
"61",Glebe,Glebe Farm,"1"
"62",Farm,Glebe,"2"
"63",Barham,Barham House,"1"
"64",House,Barham House,"2"
"65",Snails,Snails Bottom,"1"
"66",Bottom,Snails Bottom,"2"
"67",Padwell,Padwell Wood,"1"
"68",Wood,Padwell Wood,"2"
